distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,gas_consumed,amount
28.0,5.0,26,21.5,12,E10,0,0,0,1.4,2.01
12.0,4.2,30,21.5,13,E10,0,0,0,0.504,0.73
11.2,5.5,38,21.5,15,E10,0,0,0,0.616,0.89
12.9,3.9,36,21.5,14,E10,0,0,0,0.5031,0.72
18.5,4.5,46,21.5,15,E10,0,0,0,0.8325,1.2
8.3,6.4,50,21.5,10,E10,0,0,0,0.5312,0.76
7.8,4.4,43,21.5,11,E10,0,0,0,0.3432,0.49
12.3,5.0,40,21.5,6,E10,0,0,0,0.615,0.88
4.9,6.4,26,21.5,4,E10,0,0,0,0.31360000000000005,0.45
11.9,5.3,30,21.5,9,E10,0,0,0,0.6307,0.91
12.4,5.6,42,21.5,4,E10,0,0,0,0.6944,1.0
11.8,4.6,38,21.5,0,E10,0,0,0,0.5428000000000001,0.78
12.3,5.9,59,21.5,10,E10,0,0,0,0.7257000000000001,1.04
24.7,5.1,58,21.5,12,E10,0,0,0,1.2596999999999998,1.81
12.4,4.7,46,21.5,11,E10,0,0,0,0.5828,0.84
17.3,5.1,24,21.5,5,E10,0,0,0,0.8823000000000001,1.27
33.4,5.6,36,21.5,3,E10,0,0,0,1.8703999999999998,2.69
11.8,5.1,32,21.5,3,E10,0,0,0,0.6018,0.87
25.9,4.9,39,21.5,8,E10,0,0,0,1.2691,1.83
11.8,4.7,40,21.5,4,E10,0,0,0,0.5546000000000001,0.8
25.3,5.5,32,21.5,3,E10,0,0,0,1.3915,2.0
14.2,5.9,38,21.5,1,E10,0,0,0,0.8378,1.21
17.9,5.7,37,21.5,1,E10,0,0,0,1.0203,1.47
11.8,4.7,36,21.5,1,E10,0,0,0,0.5546000000000001,0.8
12.3,5.9,62,21.5,6,E10,0,0,0,0.7257000000000001,1.04
12.4,4.1,57,21.5,9,E10,0,0,0,0.5084,0.73
18.4,5.7,21,22.5,2,E10,0,0,0,1.0488,1.51
18.4,5.8,28,21.5,3,E10,0,0,0,1.0672,1.54
18.3,5.5,29,21.5,1,E10,0,0,0,1.0065,1.45
18.4,5.7,35,21.5,4,E10,0,0,0,1.0488,1.51
12.3,5.3,51,21.5,11,E10,0,0,0,0.6518999999999999,0.94
11.8,5.0,29,21.5,10,E10,0,0,0,0.59,0.85
12.3,5.6,58,21.5,8,E10,0,0,0,0.6888,0.99
32.6,4.8,40,21.5,7,E10,0,0,0,1.5648,2.25
19.0,4.3,36,21.5,7,E10,0,0,0,0.8170000000000001,1.18
12.1,5.7,36,21.5,8,E10,0,0,0,0.6897,0.99
20.0,5.2,37,21.5,4,E10,0,0,0,1.04,1.5
4.9,7.4,26,21.5,6,E10,0,0,0,0.36260000000000003,0.52
11.8,4.8,23,21.5,9,E10,0,0,0,0.5664,0.82
12.3,6.5,58,21.5,7,E10,0,0,0,0.7995,1.15
12.4,4.0,55,21.5,7,E10,1,1,0,0.496,0.71
4.5,5.0,29,21.5,7,E10,1,0,0,0.225,0.32
11.7,4.6,37,21.5,6,E10,0,0,0,0.5381999999999999,0.77
10.2,4.3,44,21.5,7,E10,0,0,0,0.43859999999999993,0.63
5.4,3.3,32,21.5,7,SP98,0,0,0,0.1782,0.31
2.0,9.9,21,21.5,4,SP98,0,0,0,0.198,0.35
14.2,5.1,32,21.5,7,SP98,0,0,0,0.7241999999999998,1.27
16.0,4.9,25,21.5,8,SP98,0,0,0,0.784,1.38
11.8,4.9,25,21.5,11,SP98,0,0,0,0.5782,1.02
27.3,4.7,36,21.5,10,SP98,0,0,0,1.2831000000000001,2.26
11.8,5.1,29,21.5,5,SP98,0,1,0,0.6018,1.06
10.6,4.9,63,21.5,6,SP98,0,0,0,0.5194000000000001,0.91
11.6,4.2,61,21.5,7,SP98,0,0,0,0.48719999999999997,0.86
13.1,6.1,46,21.5,6,SP98,0,1,0,0.7990999999999999,1.41
6.1,6.4,28,21.5,8,SP98,0,0,0,0.39039999999999997,0.69
153.5,4.9,82,21.5,3,SP98,0,1,0,7.5215000000000005,13.23
11.8,4.9,24,21.5,7,SP98,0,0,0,0.5782,1.02
12.3,6.2,61,21.5,8,SP98,0,0,0,0.7626000000000001,1.34
